label,text
48,昨日作ったお菓子の写真だよ
48,手作りクッキー作ったんだよ
48,ケーキ美味しそうでしょ。
48,ケーキを作ったよ
48,行列ができるお店のスイーツを買ったから食べよう
48,クッキーを焼いたよ
48,ケーキ買ってきたよ
48,お寿司を買ってきたんだ
48,ご飯の用意ができたよ
48,新鮮な魚が売ってたから刺身にしたんだよ
48,これ、雑誌に載ってたショートケーキだよ
48,見て、ケーキ買ってきたよ！
48,夕飯できたよ
48,頑張って料理をしてみたんだけど
48,実家から野菜をおくってきたよ
48,ケーキを買ったのでどうぞ
48,開店前から並んでプリンを買って来たんだけど
48,お菓子作りに挑戦してみたんだ。どう？
48,帰り道にケーキ屋に寄ってきたよ。
25,口が渇く
25,のどがカラカラです
25,やっと部活が終わった
25,喉がカラカラだ
25,潤いを求めています
25,のどの渇きをどうにかしたい
25,喉がカラカラです。
25,からっからで干からびそう。
25,暑くて倒れそう
25,疲れました
25,喉がカラカラだよ
25,走ってきたから喉カラカラだよ
25,喉に詰まって苦しい
25,のどがカラカラだよ
25,ここにあるもの飲んでいいですか？
25,のどがからから
25,めちゃくちゃ汗かいた。
25,喉がカラカラです
25,のどが渇いた
23,今日の予想最高気温は35度を超えるらしいよ。
23,今日の天気は、たぶん暑いですね。
23,今日はたくさん歩くぞ
23,マラソンで気を付けることは？
23,今日はたくさん運動しようと思うんだ
23,今日は30度を超えそうだね
23,今日はムシムシしそうですね。
23,今日はジムに言って体を鍛えてこようと思ってるんだ
23,猛暑日になりそうだよ
23,今日も外で部活です
23,今日は気温相当あがりそうだね。
23,今日はスポーツをしようと思ってます。
23,熱中症になりたくない
23,今日は暑くなりそうだね。
23,太陽がカンカン照りだよ(汗)
23,今から庭の草むしりだよ
23,暑くなる日にはいろいろ気を付けなきゃね。
23,今日も暑すぎだよね
23,今日は気温が上がりそうだね。
22,この痛みなんとかしてくれ
22,転んで足が痛いです
22,親知らず抜いたところが痛くて泣きそう
22,トイレとお友達になりそう
22,なんかお腹が痛くて
22,さっき道で転んじゃった
22,腹痛が辛い
22,お腹が痛い
22,お腹が苦しい
22,お腹の痛みがおさまらない
22,腹が痛くてたまらん
22,足が痛い
22,転んで血が出たよ
22,頭が痛い
22,痛いよー。
22,転んで膝擦りむけて痛いよぉ
22,頭痛がします
22,腕が痛い
22,失恋して心が痛い
21,ねえ、聞いてる？
21,反応して
21,おーい、聞こえませんかー？
21,聞いてる？
21,興味無いみたいですね？
21,さっきから話し聞いてるの？
21,さっきから欠伸ばっかりしてるけど私の話し聞いてる？
21,話聞いてた？
21,人の話聞いてる？
21,シカトしないでよー
21,おい、聞いているか？
21,ねー、聴いてる？
21,誰も話聞いてくれない
21,話聞いてる？
21,無視すんなよ
21,ちゃんと聞いてる？
21,ちゃんと話を聞いてほしい
21,聞いて聞いて！
21,無視しないで
20,やることないよ。
20,退屈だなぁ
20,何して時間潰そうかな
20,退屈だね
20,なーんにもやる事ないな
20,暇つぶしに何かしようよ
20,遊ぼう。
20,なんかおもしろいことないかな
20,何かすることないかなぁ
20,何かすることないかなあ
20,何もやることがない。
20,手持ち無沙汰だなあ
20,暇だなぁ
20,面白い遊びしたいなぁ
20,暇なんだよね
20,何かして遊ぼうよ
20,何かして遊ぼうよう
20,何もすることがないなあ
20,つまらん。
19,就職できるかな
19,今の仕事辞めちゃおうかな
19,今の仕事を辞めようと考えててさ
19,今仕事を探しているんだ。
19,仕事を変えようかなと思ってるよ
19,ほかの会社に行こうかなぁ。
19,転職を考えているんだよね
19,今の会社辞めようと思ってるんだ
19,仕事を変えたいと思っています。
19,今の会社を辞めるつもりです
19,転職活動も2ヶ月に入ったよ…
19,もう、半年も無職だよ
19,なかなか内定をもらえないんだ
19,就活につかれたよ
19,新しい仕事探そうかな
19,新しい仕事を探そうと思っててさ
19,新しい仕事探そうかな。
19,今の会社を辞めようと思ってるんだよね
19,仕事辞めようか悩んでるんだよね。
17,最近気になることは何かありますか？
17,さびしいけど、ペットは飼えないしな
17,最近の君のトレンドはなに？
17,今凝っていることある？
17,最近何に興味があるの？
17,最近気になっているものはある？
17,最近ハマってるものとかあるの？
17,最近役に立つ物は？
17,最近どんなことが気になるの？
17,近頃気になってることは何？
17,今、興味があるものある？
17,最近のトレンドを教えてくれない？
17,最近ワクワクするものは何？
17,マイブームは？
17,コンピューターの世界では何が流行っているの？
17,最近の話題の人工知能に、興味ありますか。
17,気になっていることを教えて。
17,今、注目してるものはなに？
17,人類の役に立つ分野って何だと思う？
16,さぁ！勝負を始めよう！
16,仕事休みだよ。
16,なにかゲームしようよ
16,そうじでもしようかな
16,どこか遊びに行こうよ。
16,どこか行く？
16,ゲームして遊ぼうよ
16,一緒に映画を観ようよ
16,ゲームのお相手してくれる？
16,ディズニーランド行こうよ。
16,カードゲームでもしませんか
16,トランプする？
16,なにかして遊ばない？
16,ゲームでもする？
16,暇だからゲームでもどう？
16,新しい服を買おうかな
16,ゲームがしたいな。
16,パーマかけてみたんだけど、どうかなぁ。
16,ごはん、食べる？
13,Alexaって、正直どうなの？
13,Amazonが開発したAIがあるらしいけど使ったことある？
13,Alexaの使用感はどう？
13,最新のAlexaの感想を教えて？
13,Alexaについて教えて
13,Alexaはどんな存在？
